"OTU","Stress.Mean.Decrease.Gini","Kingdom","Phylum","Class","Order","Family","Genus","Stress.RF.Rank","Enrichment.Stress","ASV.Family"
"ASV130",0.0792857142857143,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","UCG-009",15,"Stress Post","ASV130  ( Butyricicoccaceae )"
"ASV206",0.0784833333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae FCS020 group",16,"Naive Post","ASV206  ( Lachnospiraceae )"
"ASV60",0.0746666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,17,"Naive Post","ASV60  ( Lachnospiraceae )"
"ASV413",0.0728,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae",NA,18,"Stress Post","ASV413  ( Erysipelatoclostridiaceae )"
"ASV103",0.0725634920634921,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",19,"Stress Post","ASV103  ( Oscillospiraceae )"
"ASV50",0.0716666666666667,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",20,"Naive Post","ASV50  ( Clostridiaceae )"
"ASV398",0.070963492063492,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,21,"Stress Post","ASV398  ( NA )"
"ASV146",0.0708142857142857,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",22,"Stress Post","ASV146  ( Lachnospiraceae )"
"ASV265",0.0652857142857143,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas",23,"Stress Post","ASV265  ( Oscillospiraceae )"
"ASV5",0.0633555555555556,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",24,"Naive Post","ASV5  ( Erysipelotrichaceae )"
"ASV180",0.0628333333333333,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,25,"Stress Post","ASV180  ( Ruminococcaceae )"
"ASV186",0.05635,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella",26,"Naive Post","ASV186  ( Lachnospiraceae )"
"ASV292",0.0562301587301587,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,27,"Stress Post","ASV292  ( NA )"
"ASV234",0.056,"Bacteria","Firmicutes","Bacilli","RF39",NA,NA,28,"Stress Post","ASV234  ( NA )"
"ASV1",0.0523333333333333,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",29,"Naive Post","ASV1  ( Lactobacillaceae )"
"ASV224",0.0514444444444444,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-001",30,"Stress Post","ASV224  ( Lachnospiraceae )"
"ASV222",0.0514,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,31,"Naive Post","ASV222  ( NA )"
"ASV117",0.0502412698412698,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,32,"Stress Post","ASV117  ( Oscillospiraceae )"
"ASV75",0.0476666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",33,"Stress Post","ASV75  ( Lachnospiraceae )"
"ASV269",0.0474166666666667,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospira",34,"Stress Post","ASV269  ( Oscillospiraceae )"
"ASV88",0.0467,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",35,"Stress Post","ASV88  ( Oscillospiraceae )"
"ASV147",0.0465833333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,36,"Stress Post","ASV147  ( Lachnospiraceae )"
"ASV197",0.0457380952380952,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis",37,"Stress Post","ASV197  ( Ruminococcaceae )"
"ASV148",0.0449,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae",NA,38,"Stress Post","ASV148  ( Peptococcaceae )"
"ASV266",0.0441857142857143,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae",NA,39,"Stress Post","ASV266  ( Erysipelotrichaceae )"
"ASV96",0.0441690476190476,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,40,"Stress Post","ASV96  ( Lachnospiraceae )"
"ASV132",0.0437857142857143,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",41,"Stress Post","ASV132  ( Lachnospiraceae )"
"ASV465",0.0432,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae",NA,42,"Stress Post","ASV465  ( Oscillospiraceae )"
"ASV363",0.0430190476190476,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group",43,"Stress Post","ASV363  ( Oscillospiraceae )"
"ASV263",0.04275,"Bacteria","Firmicutes","Clostridia","Clostridia UCG-014",NA,NA,44,"Stress Post","ASV263  ( NA )"
"ASV86",0.0411666666666667,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",45,"Naive Post","ASV86  ( Peptostreptococcaceae )"
"ASV91",0.0405,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,46,"Stress Post","ASV91  ( Lachnospiraceae )"
"ASV445",0.0390333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-010",47,"Stress Post","ASV445  ( Lachnospiraceae )"
"ASV89",0.0382333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",48,"Stress Post","ASV89  ( Lachnospiraceae )"
"ASV295",0.0376476190476191,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",49,"Stress Post","ASV295  ( Oscillospiraceae )"
"ASV349",0.0373253968253968,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,50,"Naive Post","ASV349  ( Ruminococcaceae )"
"ASV366",0.0367515151515152,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",51,"Naive Post","ASV366  ( Oscillospiraceae )"
"ASV484",0.0365666666666667,"Bacteria","Firmicutes","Clostridia","Clostridia vadinBB60 group",NA,NA,52.5,"Stress Post","ASV484  ( NA )"
"ASV78",0.0365666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tyzzerella",52.5,"Stress Post","ASV78  ( Lachnospiraceae )"
"ASV79",0.0363333333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,54,"Stress Post","ASV79  ( Lachnospiraceae )"
"ASV82",0.0325151515151515,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group",55,"Stress Post","ASV82  ( Lachnospiraceae )"
"ASV70",0.0319523809523809,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia",56,"Stress Post","ASV70  ( Lachnospiraceae )"
"ASV134",0.0311666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2",57,"Naive Post","ASV134  ( Lachnospiraceae )"
"ASV84",0.0310666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",58,"Naive Post","ASV84  ( Lachnospiraceae )"
"ASV361",0.0294761904761905,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",NA,59,"Stress Post","ASV361  ( Ruminococcaceae )"
"ASV384",0.0285,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus",60,"Stress Post","ASV384  ( Butyricicoccaceae )"
"ASV152",0.0281666666666667,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,61,"Stress Post","ASV152  ( Lachnospiraceae )"
"ASV236",0.0280119047619048,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] brachy group",62,"Stress Post","ASV236  ( Anaerovoracaceae )"
"ASV262",0.0275833333333333,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,63,"Stress Post","ASV262  ( Lachnospiraceae )"
"ASV226",0.0267333333333333,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",64,"Naive Post","ASV226  ( Oscillospiraceae )"
"ASV302",0.0264809523809524,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",65,"Stress Post","ASV302  ( Lachnospiraceae )"
"ASV161",0.0262809523809524,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,66,"Naive Post","ASV161  ( Lachnospiraceae )"
